file,point_x,point_y,distance,ground_truth_x,ground_truth_y,kind
101_1,275,112,3.0,275,115,bifurcation
101_1,301,173,5.656854249492381,305,177,termination
101_1,345,78,3.605551275463989,342,80,bifurcation
101_1,253,57,5.0,257,60,bifurcation
101_1,272,48,7.810249675906654,277,54,termination
101_1,273,60,7.211102550927978,277,54,termination
101_1,287,15,5.0,290,19,bifurcation
101_1,268,27,3.1622776601683795,269,30,bifurcation
101_2,241,204,4.123105625617661,242,200,termination
101_2,346,75,3.1622776601683795,345,78,bifurcation
101_2,404,262,2.8284271247461903,402,264,termination
101_2,377,316,3.1622776601683795,376,319,termination
101_2,285,116,4.123105625617661,286,120,bifurcation
101_2,292,232,2.0,292,230,bifurcation
101_2,336,377,4.47213595499958,340,375,termination
101_2,230,320,5.385164807134504,225,322,termination
101_2,235,333,3.605551275463989,238,335,termination
101_2,343,428,5.0990195135927845,338,427,termination
101_3,359,160,7.615773105863909,352,163,bifurcation
101_3,214,225,2.8284271247461903,216,227,termination
101_3,246,240,5.385164807134504,248,245,termination
101_3,309,254,4.242640687119285,312,251,termination
101_3,315,270,5.0,318,274,termination
101_3,342,282,5.656854249492381,346,278,bifurcation
101_3,342,282,4.0,342,286,bifurcation
101_3,243,282,2.23606797749979,241,283,bifurcation
101_3,359,318,3.605551275463989,362,316,termination
101_3,271,348,7.810249675906654,276,342,bifurcation
101_3,243,381,6.082762530298219,244,387,bifurcation
101_3,247,383,5.0,244,387,bifurcation
101_3,333,403,2.23606797749979,334,405,termination
101_3,236,383,7.211102550927978,232,389,termination
101_3,234,384,5.385164807134504,232,389,termination
101_4,216,126,5.0990195135927845,221,127,termination
101_4,286,132,4.47213595499958,284,128,termination
101_4,226,176,5.830951894845301,229,171,termination
101_4,260,186,6.4031242374328485,264,191,termination
101_4,224,270,6.324555320336759,226,276,bifurcation
101_4,252,269,6.082762530298219,246,268,termination
101_4,243,272,5.0,246,268,termination
101_4,245,335,6.4031242374328485,250,331,bifurcation
101_4,188,306,5.830951894845301,185,311,bifurcation
101_4,326,333,5.385164807134504,331,331,bifurcation
101_4,326,336,7.0710678118654755,331,331,bifurcation
101_4,196,283,4.47213595499958,192,285,termination
101_4,191,287,2.23606797749979,192,285,termination
101_4,231,240,6.324555320336759,237,242,termination
101_5,301,222,6.324555320336759,307,220,termination
101_5,312,224,6.4031242374328485,307,220,termination
101_5,387,107,6.324555320336759,385,113,bifurcation
101_5,405,150,5.656854249492381,401,154,bifurcation
101_5,318,116,3.605551275463989,316,113,termination
101_5,318,116,3.1622776601683795,317,119,termination
101_5,326,170,4.0,330,170,termination
101_5,307,196,4.123105625617661,306,192,termination
101_5,298,257,2.23606797749979,297,259,bifurcation
101_6,198,133,5.0990195135927845,199,138,bifurcation
101_6,254,139,3.1622776601683795,255,136,termination
101_6,234,249,3.605551275463989,232,252,bifurcation
101_6,215,266,4.47213595499958,213,262,termination
101_6,207,292,6.4031242374328485,203,297,bifurcation
101_6,313,236,5.0,318,236,termination
101_6,181,318,2.0,181,320,bifurcation
101_6,226,326,4.123105625617661,225,330,bifurcation
101_6,260,157,4.47213595499958,262,161,termination
101_6,189,180,3.1622776601683795,190,177,termination
101_6,202,286,7.0710678118654755,209,287,termination
101_6,212,286,3.1622776601683795,209,287,termination
101_6,174,305,2.8284271247461903,172,303,termination
101_7,268,100,4.242640687119285,271,103,bifurcation
101_7,273,144,2.23606797749979,275,145,termination
101_7,330,106,5.0,330,101,termination
101_7,288,251,7.211102550927978,284,257,bifurcation
101_7,282,252,5.385164807134504,284,257,bifurcation
101_7,296,375,7.0710678118654755,297,382,bifurcation
101_7,312,175,1.0,313,175,bifurcation
101_7,271,259,5.0990195135927845,272,264,termination
101_7,253,268,4.123105625617661,249,269,termination
101_7,248,270,1.4142135623730951,249,269,termination
101_7,265,290,3.605551275463989,267,293,termination
101_8,249,268,6.708203932499369,255,271,bifurcation
101_8,253,156,2.23606797749979,254,158,termination
101_8,253,158,1.0,254,158,termination
101_8,255,163,5.0990195135927845,254,158,termination
101_8,253,156,7.0,253,163,termination
101_8,253,158,5.0,253,163,termination
101_8,255,163,2.0,253,163,termination
101_8,253,167,4.0,253,163,termination
101_8,273,178,5.0,277,181,termination
102_1,349,193,7.0710678118654755,342,194,bifurcation
102_1,223,156,4.47213595499958,225,152,bifurcation
102_1,276,94,6.082762530298219,275,100,termination
102_2,241,176,3.605551275463989,243,179,bifurcation
102_2,346,91,1.0,347,91,termination
102_2,223,269,3.1622776601683795,220,270,bifurcation
102_3,379,62,6.4031242374328485,375,67,bifurcation
102_3,303,205,5.830951894845301,300,210,bifurcation
102_3,292,254,3.0,292,251,bifurcation
102_3,317,264,2.8284271247461903,315,262,termination
102_3,401,289,7.211102550927978,397,295,termination
102_4,259,144,5.0,262,148,bifurcation
102_4,207,188,7.280109889280518,209,195,termination
102_4,205,191,5.656854249492381,209,195,termination
102_4,159,233,6.4031242374328485,163,238,bifurcation
102_4,356,364,4.47213595499958,354,368,termination
102_5,269,248,3.1622776601683795,272,249,bifurcation
102_5,269,253,5.0,272,249,bifurcation
102_5,315,112,5.0,312,116,bifurcation
102_5,449,201,5.0,449,206,termination
102_5,454,210,6.4031242374328485,449,206,termination
102_5,253,208,4.0,253,212,bifurcation
102_5,279,271,5.385164807134504,281,266,termination
102_5,367,380,2.8284271247461903,365,382,termination
102_6,302,214,4.47213595499958,300,218,bifurcation
102_6,366,214,4.47213595499958,362,216,bifurcation
102_6,238,126,7.0,238,133,bifurcation
102_6,393,164,8.0,401,164,bifurcation
