file,point_x,point_y,kind
101_1,259,23,termination
101_1,287,46,bifurcation
101_1,267,54,bifurcation
101_1,335,36,termination
101_1,285,46,termination
101_1,338,41,bifurcation
101_1,353,210,termination
101_1,268,201,termination
101_1,356,43,bifurcation
101_1,333,32,bifurcation
101_1,285,197,termination
101_1,270,200,termination
101_1,350,108,termination
101_1,315,81,termination
101_1,346,105,bifurcation
101_1,328,188,termination
101_1,365,42,bifurcation
101_1,263,206,bifurcation
101_1,285,193,bifurcation
101_1,367,125,termination
101_1,333,34,termination
101_1,353,43,bifurcation
101_1,278,206,bifurcation
101_1,283,199,termination
101_1,268,52,termination
101_1,343,43,bifurcation
101_1,330,197,bifurcation
101_1,258,46,termination
101_1,297,110,bifurcation
101_1,366,130,termination
101_1,271,194,bifurcation
101_1,335,32,termination
101_1,338,123,bifurcation
101_1,245,61,termination
101_1,354,203,bifurcation
101_1,301,205,bifurcation
101_1,346,102,bifurcation
101_1,269,123,bifurcation
101_1,332,45,bifurcation
101_1,272,38,bifurcation
101_1,300,205,bifurcation
101_1,353,205,bifurcation
101_2,414,129,bifurcation
101_2,409,418,bifurcation
101_2,323,410,termination
101_2,276,380,termination
101_2,403,342,termination
101_2,226,408,termination
101_2,253,301,bifurcation
101_2,256,303,termination
101_2,345,199,termination
101_2,274,346,termination
101_2,416,136,termination
101_2,222,341,bifurcation
101_2,376,380,termination
101_2,394,83,termination
101_2,271,288,termination
101_2,261,301,termination
101_2,261,276,termination
101_2,236,349,termination
101_2,351,360,termination
101_2,417,132,termination
101_2,217,362,bifurcation
101_2,382,76,bifurcation
101_2,339,332,termination
101_2,265,305,termination
101_2,376,257,bifurcation
101_2,306,422,termination
101_2,246,317,termination
101_2,421,365,termination
101_2,300,362,bifurcation
101_2,380,79,bifurcation
101_2,309,177,termination
101_2,337,198,termination
101_2,284,224,termination
101_2,275,318,bifurcation
101_2,415,140,bifurcation
101_2,266,421,termination
101_2,417,429,bifurcation
101_2,401,99,termination
101_2,336,207,termination
101_2,359,241,termination
101_2,269,292,termination
101_2,270,300,termination
101_3,316,284,termination
101_3,281,314,termination
101_3,350,140,bifurcation
